ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13201791,JG413512,09/06/2023 07:00:00 AM,009XX E 40TH ST,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,false,true,0214,002,4,36,04B,1183241,1878620,2023,09/14/2023 03:43:09 PM,41.822130356,-87.603276576,"(41.822130356, -87.603276576)"
13204785,JG413430,09/06/2023 11:00:00 AM,057XX S CICERO AVE,0810,THEFT,OVER $500,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,false,false,0813,008,13,56,06,1145654,1866253,2023,09/14/2023 03:43:09 PM,41.788987036,-87.74147999,"(41.788987036, -87.74147999)"
13202368,JG414229,09/06/2023 09:22:00 PM,006XX W WILSON DR,0560,ASSAULT,SIMPLE,PARK PROPERTY,false,false,1914,019,46,3,08A,1171340,1930917,2023,09/14/2023 03:43:09 PM,41.965905724,-87.645397479,"(41.965905724, -87.645397479)"
13202012,JG413859,09/06/2023 03:45:00 PM,036XX W 16TH ST,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,false,false,1014,010,24,29,04A,1152458,1891802,2023,09/14/2023 03:43:09 PM,41.858965656,-87.71585846,"(41.858965656, -87.71585846)"
13201176,JG412967,09/06/2023 12:23:00 AM,032XX W IRVING PARK RD,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,false,false,1733,017,33,16,03,1154247,1926417,2023,09/14/2023 03:43:09 PM,41.953916833,-87.70836586,"(41.953916833, -87.70836586)"
13201651,JG413377,09/06/2023 09:00:00 AM,071XX S ST LAWRENCE AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0323,003,6,69,08A,1181470,1857861,2023,09/14/2023 03:43:09 PM,41.76520694,-87.610413911,"(41.76520694, -87.610413911)"
13201727,JG413693,09/06/2023 03:02:00 PM,016XX W 47TH ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,true,false,0924,009,15,61,06,1166298,1873549,2023,09/14/2023 03:43:09 PM,41.80859321,-87.665577234,"(41.80859321, -87.665577234)"
13207693,JG420704,08/14/2023 03:00:00 PM,006XX N MICHIGAN AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,DEPARTMENT STORE,false,false,1834,018,42,8,11,1177314,1904693,2023,09/14/2023 03:41:59 PM,41.893812529,-87.624229924,"(41.893812529, -87.624229924)"
13201220,JG413028,09/06/2023 04:31:00 AM,034XX N PULASKI RD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,1731,017,30,16,14,1149111,1922907,2023,09/14/2023 03:43:09 PM,41.944386341,-87.727337759,"(41.944386341, -87.727337759)"
13201500,JG413379,09/06/2023 05:00:00 AM,001XX N PINE AVE,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES,RESIDENCE,false,true,1523,015,37,25,17,1139479,1900503,2023,09/14/2023 03:43:09 PM,41.883088627,-87.763288609,"(41.883088627, -87.763288609)"
